DAUID,POP_2016,POP_DENSITY,LANDAREA
35200870,1887,12775.9,0.15
35200876,436,7182.9,0.06
35200877,416,9541.3,0.04
35200878,652,47941.2,0.01
35200879,468,11612.9,0.04
35200880,505,14680.2,0.03
35200881,408,12106.8,0.03
35200882,353,15021.3,0.02
35200883,450,11056.5,0.04
35200884,519,12506,0.04
35200885,523,12756.1,0.04
35200886,757,12349.1,0.06
35200887,585,11228.4,0.05
35200888,737,6767.7,0.11
35200889,661,16280.8,0.04
35200890,588,11878.8,0.05
35200891,332,14310.3,0.02
35200892,631,9320.5,0.07
35200893,290,10943.4,0.03
35200894,518,11139.8,0.05
35200895,551,10299.1,0.05
35200896,354,9053.7,0.04
35200897,632,7497,0.08
35200898,562,15654.6,0.04
35200899,427,7046.2,0.06
35200900,491,55795.5,0.01
35200901,403,8629.6,0.05
35200902,674,9897.2,0.07
35200903,400,7366.5,0.05
35200905,511,6551.3,0.08
35200906,1231,14280.7,0.09
35200907,430,10913.7,0.04
35200908,483,9917.9,0.05
35200909,665,9197.8,0.07
35200910,596,15012.6,0.04
35200911,375,9542,0.04
35200912,363,8985.1,0.04
35200913,658,10966.7,0.06
35200914,574,7572.6,0.08
35200915,726,10552.3,0.07
35200916,561,8262.2,0.07
35200917,355,11526,0.03
35200918,233,11042.7,0.02
35200919,383,11166.2,0.03
35200920,636,8700.4,0.07
35200921,532,10230.8,0.05
35200922,522,8080.5,0.06
35200923,341,10894.6,0.03
35200924,322,10454.5,0.03
35200925,374,8657.4,0.04
35200926,370,11349.7,0.03
35200927,399,3832.9,0.1
35200928,367,12032.8,0.03
35200929,373,11441.7,0.03
35200930,460,16254.4,0.03
35200931,382,10760.6,0.04
35200932,408,12515.3,0.03
35200933,373,13042,0.03
35200934,574,13442.6,0.04
35200935,377,7662.6,0.05
35200936,316,13221.8,0.02
35200937,399,14098.9,0.03
35200938,323,8613.3,0.04
35200939,402,4594.3,0.09
35200940,285,11538.5,0.02
35200941,358,9572.2,0.04
35200942,596,16328.8,0.04
35200943,242,8461.5,0.03
35200944,457,3038.6,0.15
35200945,507,9319.9,0.05
35200946,456,14568.7,0.03
35200949,564,11750,0.05
35200950,495,11985.5,0.04
35200951,611,12572,0.05
35200952,1481,5073.7,0.29
35200953,226,11300,0.02
35200954,374,13309.6,0.03
35200955,1359,16472.7,0.08
35200956,399,11946.1,0.03
35200957,1193,16755.6,0.07
35200958,779,9488.4,0.08
35200959,653,10793.4,0.06
35200960,380,5680.1,0.07
35200961,427,10239.8,0.04
35200962,515,6679.6,0.08
35200963,421,7028.4,0.06
35200965,384,13617,0.03
35200966,417,14329.9,0.03
35200967,657,16102.9,0.04
35200968,721,24948.1,0.03
35200969,486,3403.4,0.14
35200974,777,7969.2,0.1
35200975,424,11216.9,0.04
35200976,844,10083.6,0.08
35200977,581,10582.9,0.05
35200979,525,4092,0.13
35200981,467,21036,0.02
35200983,342,20236.7,0.02
35200985,427,5310.9,0.08
35200986,512,13763.4,0.04
35200987,538,6609.3,0.08
35200988,603,10396.6,0.06
35200989,640,9638.6,0.07
35200990,520,7866.9,0.07
35200991,428,13333.3,0.03
35200992,398,12097.3,0.03
35200993,280,10370.4,0.03
35200994,500,9074.4,0.06
35200995,301,6044.2,0.05
35200996,300,10204.1,0.03
35200997,689,8591,0.08
35200998,422,10292.7,0.04
35200999,547,6889.2,0.08
35201000,720,10183.9,0.07
35201001,571,12831.5,0.04
35201002,625,14140.3,0.04
35201003,580,12888.9,0.05
35201004,391,9200,0.04
35201005,546,12668.2,0.04
35201006,580,13679.2,0.04
35201007,369,9813.8,0.04
35201008,394,10563,0.04
35201009,414,10952.4,0.04
35201010,725,9986.2,0.07
35201011,320,5387.2,0.06
35201012,394,11656.8,0.03
35201013,338,10059.5,0.03
35201014,613,10660.9,0.06
35201015,700,12455.5,0.06
35201016,563,9080.6,0.06
35201017,405,10686,0.04
35201018,424,10392.2,0.04
35201019,468,11700,0.04
35201020,520,12652.1,0.04
35201023,684,12127.7,0.06
35201024,579,7043.8,0.08
35201025,594,6851.2,0.09
35201026,454,11046.2,0.04
35201027,688,11371.9,0.06
35201028,517,12309.5,0.04
35201029,894,6511.3,0.14
35201030,463,8852.8,0.05
35201031,772,14036.4,0.06
35201032,556,20592.6,0.03
35201033,698,19773.4,0.04
35201034,340,6501,0.05
35201035,650,9774.4,0.07
35201036,560,16092,0.03
35201038,629,24861.7,0.03
35201039,1281,10397.7,0.12
35201040,534,6750.9,0.08
35201041,840,11336,0.07
35201044,568,4761.1,0.12
35201045,426,20000,0.02
35201046,565,17278.3,0.03
35201047,585,9590.2,0.06
35201048,609,10287.2,0.06
35201049,787,7368.9,0.11
35201050,316,10063.7,0.03
35201051,667,62336.4,0.01
35201052,546,15082.9,0.04
35201053,474,12845.5,0.04
35201054,665,13064.8,0.05
35201055,912,22135.9,0.04
35201056,490,24500,0.02
35201057,679,14234.8,0.05
35201058,513,21111.1,0.02
35201059,519,10117,0.05
35201060,391,10831,0.04
35201061,531,8969.6,0.06
35201062,299,5839.8,0.05
35201063,779,8157.1,0.1
35201064,640,7785.9,0.08
35201065,602,11944.4,0.05
35201066,615,8874.5,0.07
35201067,421,8096.2,0.05
35201068,768,14684.5,0.05
35201069,477,6863.3,0.07
35201070,369,10573.1,0.03
35201071,501,14033.6,0.04
35201072,582,3885.2,0.15
35201073,656,5779.7,0.11
35201076,598,5168.5,0.12
35201077,446,3620.1,0.12
35201078,938,10695.6,0.09
35201079,564,6090.7,0.09
35201080,452,5452.4,0.08
35201081,389,4738.1,0.08
35201104,467,11446.1,0.04
35201105,416,9476.1,0.04
35201106,561,9428.6,0.06
35201107,814,30373.1,0.03
35201109,616,14772.2,0.04
35201110,827,11085.8,0.07
35201111,527,5747,0.09
35201112,464,8498.2,0.05
35201113,493,9062.5,0.05
35201114,540,6844.1,0.08
35201122,286,8102,0.04
35201123,348,8656.7,0.04
35201124,438,8742.5,0.05
35201125,416,8984.9,0.05
35201126,333,8222.2,0.04
35201127,576,9779.3,0.06
35201128,417,9455.8,0.04
35201129,576,6479.2,0.09
35201130,363,10111.4,0.04
35201131,666,8377.4,0.08
35201132,721,8923.3,0.08
35201133,523,10356.4,0.05
35201134,521,10461.8,0.05
35201139,688,9649.4,0.07
35201140,439,10552.9,0.04
35201141,544,10244.8,0.05
35201142,521,10378.5,0.05
35201143,548,10745.1,0.05
35201144,283,7182.7,0.04
35201145,627,9316.5,0.07
35201146,341,8676.8,0.04
35201147,404,10831.1,0.04
35201148,430,8253.4,0.05
35201149,310,9627.3,0.03
35201150,354,8349.1,0.04
35201151,326,8009.8,0.04
35201152,397,8288.1,0.05
35201153,504,5688.5,0.09
35201154,546,7368.4,0.07
35201155,413,8194.4,0.05
35201156,482,11586.5,0.04
35201157,367,8696.7,0.04
35201158,856,3607.2,0.24
35201159,730,7807.5,0.09
35201160,374,10967.7,0.03
35201161,263,40461.5,0.01
35201162,632,11769.1,0.05
35201163,242,3301.5,0.07
35201164,410,4761.9,0.09
35201165,599,5353,0.11
35201166,420,7792.2,0.05
35201167,844,40000,0.02
35201168,497,8352.9,0.06
35201169,431,11648.6,0.04
35201170,506,5911.2,0.09
35201171,381,9407.4,0.04
35201172,516,7644.4,0.07
35201173,404,11710.1,0.03
35201174,473,9441.1,0.05
35201175,516,10573.8,0.05
35201176,436,11038,0.04
35201177,463,11994.8,0.04
35201178,468,12513.4,0.04
35201179,517,8991.3,0.06
35201180,524,6245.5,0.08
35201181,439,10629.5,0.04
35201182,684,8066,0.08
35201185,535,10449.2,0.05
35201186,646,12447,0.05
35201187,330,10645.2,0.03
35201188,629,6392.3,0.1
35201191,325,7303.4,0.04
35201192,404,8047.8,0.05
35201193,477,8472.5,0.06
35201194,347,7214.1,0.05
35201195,404,8112.4,0.05
35201196,912,8475.8,0.11
35201197,315,6774.2,0.05
35201198,977,3274.1,0.3
35201199,546,5332,0.1
35201200,607,8292.3,0.07
35201201,486,8033.1,0.06
35201202,433,7427.1,0.06
